id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
bitcoin,1,BTC,Bitcoin,19590806.0000000000000000,21000000.0000000000000000,864729539159.2585007890952346,16301703272.4620852745159043,44139.5590951826331591,0.0265633711851452,43817.2232050161438481,https://blockchain.info/
ethereum,2,ETH,Ethereum,120184229.2381965500000000,0.0,272303305907.9915143985918412,6367698776.3627985159823096,2265.7157901167367801,-0.0913715619113550,2247.3243875193392447,https://etherscan.io/
tether,3,USDT,Tether,92808320415.8199900000000000,0.0,92997202577.4228194995069538,18979358622.7742058265951626,1.0020351856466808,0.0311332442528729,1.0013156835749104,https://www.omniexplorer.info/asset/31
binance-coin,4,BNB,BNB,166801148.0000000000000000,166801148.0000000000000000,51228186580.3753334839345472,606092054.5047585375508279,307.1213069851014064,-5.3361629563164562,318.9409521021416480,https://etherscan.io/token/0xB8c77482e45F1F44dE1745F52C74426C631bDD52
solana,5,SOL,Solana,431128562.4860871000000000,0.0,42759423920.6413062612020699,891475814.8616982442549757,99.1802159292593626,-3.9101843479201150,100.1396153504443679,https://explorer.solana.com/
xrp,6,XRP,XRP,45404028640.0000000000000000,100000000000.0000000000000000,26066521396.1532161409544480,655933383.0553764543475961,0.5741015098644607,-1.9816658582299052,0.5726580098944021,https://xrpcharts.ripple.com/#/graph/
usd-coin,7,USDC,USDC,25347655089.9664730000000000,0.0,25375200083.9863071054952141,1419113737.8152565141152070,1.0010866880554461,0.0726512024448071,1.0008183100051635,https://etherscan.io/token/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
cardano,8,ADA,Cardano,35376186753.4710000000000000,45000000000.0000000000000000,19180993622.8240709380714597,290347469.4697985593843616,0.5422007113568308,-4.1956056829654919,0.5446469503156598,https://cardanoexplorer.com/
avalanche,9,AVAX,Avalanche,366556452.7880909000000000,720000000.0000000000000000,13276117362.4926757088205591,285819206.2197185044953438,36.2184794770689826,-5.9562094208682448,36.7875621223663847,https://avascan.info/
dogecoin,10,DOGE,Dogecoin,142533016383.7052000000000000,0.0,11752888792.1897295974213336,294030804.4663996208469259,0.0824573077198509,-2.2164786345790077,0.0826855706182518,http://dogechain.info/chain/Dogecoin
